href,name,born,died,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Jim_Dunlap,Jim Dunlap,1945,,,,0,0,0,0
https://en.wikipedia.org/wiki/Stephen_Dunn,Stephen Dunn,1939,2021,"Forest Hills, Queens","Frostburg, Maryland",-73.84661252338410,40.723100900000000,-78.928357,39.6581425
https://en.wikipedia.org/wiki/Rachel_Blau_DuPlessis,Rachel Blau DuPlessis,1941,,"Brooklyn, New York",,-73.9497211,40.6526006,0,0
https://en.wikipedia.org/wiki/Job_Durfee,Job Durfee,1790,1847,,,0,0,0,0
https://en.wikipedia.org/wiki/Stuart_Dybek,Stuart Dybek,1942,,,,0,0,0,0
https://en.wikipedia.org/wiki/Bob_Dylan,Bob Dylan,1941,,"Duluth, Minnesota",,-92.1251218,46.7729322,0,0
https://en.wikipedia.org/wiki/Cornelius_Eady,Cornelius Eady,1954,,"Rochester, New York",,-77.615214,43.157285,0,0
https://en.wikipedia.org/wiki/Pliny_Earle_(physician),Pliny Earle (physician),1809,1892,,,0,0,0,0
https://en.wikipedia.org/wiki/Richard_Eberhart,Richard Eberhart,1904,2005,"Austin, Minnesota","Hanover, New Hampshire",-92.9744896,43.6680928,-72.288666,43.703622
https://en.wikipedia.org/wiki/David_Edelstadt,David Edelstadt,1866,1892,Kaluga,"Denver, Colorado",36.2598115,54.5101087,-104.984862,39.7392364
https://en.wikipedia.org/wiki/Russell_Edson,Russell Edson,1935,2014,,,0,0,0,0
