href,name,born,died,info,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Ai_(poet),Ai,0,0,US poet,"Albany, Texas","Stillwater, Oklahoma",-99.2946,32.72807,-97.05857,36.11563
https://en.wikipedia.org/wiki/Ama_Ata_Aidoo,Ama Ata Aidoo,1940,2023,"Ghanaian novelist, poet, playwright and academic",Abeadzi Kyiakor,,0,0,0,0
https://en.wikipedia.org/wiki/Conrad_Aiken,Conrad Aiken,1889,1973,US poet and author,"Savannah, Georgia",,-81.09213,32.07901,0,0
https://en.wikipedia.org/wiki/Aganice_Ainianos,Aganice Ainianos,1838,1892,Greek poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Akazome_Emon,Akazome Emon,956,1041,Japanese poet and historian,,,0,0,0,0
https://en.wikipedia.org/wiki/Mark_Akenside,Mark Akenside,1721,1770,English poet and physician,Newcastle upon Tyne,,-1.61316,54.97385,0,0
https://en.wikipedia.org/wiki/Rachel_Akerman,Rachel Akerman,1522,1544,Austrian Jewish poet writing in German,,,0,0,0,0
https://en.wikipedia.org/wiki/Mehdi_Akhavan-Sales,Mehdi Akhavan-Sales,1929,1990,Iranian poet,Mashhad,Tehran,59.60592,36.29749,51.3896,35.68925
https://en.wikipedia.org/wiki/Bella_Akhmadulina,Bella Akhmadulina,1937,2010,Russian poet,Soviet Union,Peredelkino,27.35979,44.56663,37.35563,55.65629
https://en.wikipedia.org/wiki/Anna_Akhmatova,Anna Akhmatova,1889,1966,Russian poet,Old Style and New Style dates,Moscow,0,0,0,0
https://en.wikipedia.org/wiki/Jan_Nisar_Akhtar,Jan Nisar Akhtar,1914,1976,Indian Urdu poet,Gwalior,Bombay,78.15736,26.20372,72.8281,18.97335
https://en.wikipedia.org/wiki/Javed_Akhtar,Javed Akhtar,1945,0,"Indian poet, lyricist and scriptwriter",,,0,0,0,0
https://en.wikipedia.org/wiki/Salman_Akhtar,Salman Akhtar,1946,0,Indian US professor and poet writing in English and Urdu,Lucknow,,80.9346,26.8381,0,0
https://en.wikipedia.org/wiki/Amina_Al_Adwan,Amina Al Adwan,1935,0,"Jordanian writer, poet and critic",Jordan,,35.56124,32.3636,0,0
https://en.wikipedia.org/wiki/Muhammad_Taha_Al-Qaddal,Muhammad Taha Al-Qaddal,1951,2021,Sudanese poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Luigi_Alamanni,Luigi Alamanni,1495,1556,Italian poet and statesman,,,0,0,0,0
https://en.wikipedia.org/wiki/Alasdair_mac_Mhaighstir_Alasdair,Alasdair mac Mhaighstir Alasdair,0,0,Scottish Gaelic poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Ave_Alavainu,Ave Alavainu,1942,0,Estonian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Gillebr%C3%ADghde_Albanach,Gillebríghde Albanach,0,0,Scottish Gaelic poet and crusader,,,0,0,0,0
https://en.wikipedia.org/wiki/Alcaeus_(comic_poet),Alcaeus,0,0,Athenian comic poet in Greek,,,0,0,0,0
https://en.wikipedia.org/wiki/Alcaeus_of_Messene,Alcaeus of Messene,0,0,Greek writer of verse epigrams,,,0,0,0,0
https://en.wikipedia.org/wiki/Alcaeus_of_Mytilene,Alcaeus of Mytilene,0,0,Greek lyric poet from Lesbos,,,0,0,0,0
https://en.wikipedia.org/wiki/Allamraju_Subrahmanyakavi,Allamraju Subrahmanyakavi,1831,1892,Indian Telugu poet,,,0,0,0,0
